Name,NameDong,First,FirstDong,Way,Second,SecondDong,Third,ThirdDong
인문대학 인문관1,1,4동 인문대 신양학술정보관 Ⅱ,4,"1동 1층에서 나와서 자하연 식당/느티나무 쪽으로 걸어가면, 오른편 2시 방향으로 넓은 광장과 하얀 신양인문학술정보관이 있습니다. 2층에 인쇄실이 있습니다.",62동 중앙도서관,62,62-1동 관정도서관,62-1
인문대학 인문관2,2,4동 인문대 신양학술정보관 Ⅱ,4,"2동 1층에서 나와서 자하연 식당/느티나무 쪽으로 걸어가면, 오른편 2시 방향으로 넓은 광장과 하얀 신양인문학술정보관이 있습니다. 2층에 인쇄실이 있습니다.",5동 인문관,5,8동 두산인문관,8
인문대학 인문관3,3,4동 인문대 신양학술정보관 Ⅱ,4,"3동 1층에서 나오면, 우리은행 간판이 있는 하얀 신양인문학술정보관이 있습니다. 2층에 인쇄실이 있습니다. 인문대 3동 2층의 경우, 신양관 2층과 연결되어 있습니다.",5동 인문관,5,8동 두산인문관,8
인문대 신양학술정보관 Ⅱ,4,4동 인문대 신양학술정보관 Ⅱ,4,건물의 2층에 인쇄실이 있습니다.,5동 인문관,5,8동 두산인문관,8
인문대학 인문관4,5,5동 인문관,5,"인문대 해방터로 가면, 길게 늘어진 계단의 좌측에 5동으로 들어가는 긴 유리문이 있습니다. 그 문의 바로 뒤에 인문대 전산실이 있습니다.",8동 두산인문관,8,4동 인문대 신양학술정보관 Ⅱ,4
인문대학 인문관5,6,5동 인문관,5,건물의 1층 인문대 전산실에 인쇄기가 있습니다.,9동 사범대학 사범관1,9,8동 두산인문관,8
인문대학 인문관6,7,8동 두산인문관,8,,9동 사범대학 사범관1,9,5동 인문관,5
두산인문관,8,8동 두산인문관,8,,5동 인문관,5,9동 사범대학 사범관1,9
사범대학 사범관1,9,9동 사범대학 사범관1,9,,12동 기초사범교육협력센터 사범대더랩,12,8동 두산인문관,8
사범대학 사범관2,10,9동 사범대학 사범관1,9,,10-1동 교육정보관,10-1,12동 기초사범교육협력센터 사범대더랩,12
사범대학 사범관3,11,12동 기초사범교육협력센터 사범대더랩,12,,9동 사범대학 사범관1,9,10-1동 교육정보관,10-1
기초사범교육협력센터 사범대더랩,12,12동 기초사범교육협력센터 사범대더랩,12,,9동 사범대학 사범관1,9,8동 두산인문관,8
사범대학 과학교육관,13,12동 기초사범교육협력센터 사범대더랩,12,,8동 두산인문관,8,9동 사범대학 사범관1,9
인문대학 인문관7,14,9동 사범대학 사범관1,9,,5동 인문관,5,8동 두산인문관,8
법과대학 법학관1,15,15동 법과대학 법학관1,15,,16-1동 사회대 신양학술정보관,16-1,50동 미술대학 예술관1,50
사회과학대학 사회과학관,16,16동 사회대,16,사회대로 들어가셔서 2층으로 가시면 로비가 나옵니다. 그 로비를 바라보고 오른쪽으로 가시면 인쇄를 할 수 있는 공간이 있습니다.,16-1동 사회대 신양학술정보관,16-1,15동 법과대학 법학관1,15
법과대학 법학관2,17,15동 법과대학 법학관1,15,,50동 미술대학 예술관1,50,16-1동 사회대 신양학술정보관,16-1
자연과학대학 자연과학관1,18,21동 약학대학 약학관1,21,,85동 수의과대학,85,75-1동 제3식당 (전망대) 제3학생식당,75-1
자연과학관2,19,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
약학대학 약학관3,20,62-1동 관정도서관,62-1,,62동 중앙도서관,62,85동 수의과대학,85
약학대학 약학관1,21,85동 수의과대학,85,,62-1동 관정도서관,62-1,21동 약학대학 약학관1,21
자연과학대학 자연과학관4,22,85동 수의과대학,85,,18동 자연과학대학 자연과학관1,18,63동 학생회관,63
자연과학대학 자연과학관5,23,63동 학생회관,63,,18동 자연과학대학 자연과학관1,18,62동 중앙도서관,62
24동,24,102동 정보화본부,102,,63동 학생회관,63,18동 자연과학대학 자연과학관1,18
25동,25,18동 자연과학대학 자연과학관1,18,,63동 학생회관,63,102동 정보화본부,102
26동,26,18동 자연과학대학 자연과학관1,18,,63동 학생회관,63,102동 정보화본부,102
27동,27,18동 자연과학대학 자연과학관1,18,,63동 학생회관,63,25동 25동,25
자연과학대학 자연대 대형강의동,28,18동 자연과학대학 자연과학관1,18,,63동 학생회관,63,301동 제1공학관,301
약학대학 약학관2,29,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
공과대학 공학관1,30,301동 제1공학관,301,,85동 수의과대학,85,21동 약학대학 약학관1,21
공과대학 공학관2,31,301동 제1공학관,301,,25동 25동,25,200동 농업생명과학대학,200
공과대학 공학관3,32,301동 제1공학관,301,,200동 농업생명과학대학,200,25동 25동,25
공과대학 공학관4,33,301동 제1공학관,301,,75-1동 제3식당 (전망대) 제3학생식당,75-1,200동 농업생명과학대학,200
공과대학 공학관5,34,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
공과대학 공학관6,35,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
공과대학 공학관7,36,75-1동 제3식당 (전망대) 제3학생식당,75-1,,301동 제1공학관,301,21동 약학대학 약학관1,21
공과대학 공학관8,37,301동 제1공학관,301,,75-1동 제3식당 (전망대) 제3학생식당,75-1,21동 약학대학 약학관1,21
글로벌공학교육센터,38,301동 제1공학관,301,,75-1동 제3식당 (전망대) 제3학생식당,75-1,200동 농업생명과학대학,200
공과대학 대학원교육연구동,39,75-1동 제3식당 (전망대) 제3학생식당,75-1,,301동 제1공학관,301,21동 약학대학 약학관1,21
공과대학 풍동실험동1,40,75-1동 제3식당 (전망대) 제3학생식당,75-1,,301동 제1공학관,301,21동 약학대학 약학관1,21
선박실험공장동 선체구조실험동,41,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
선형수조실험공장동 선형수조실험동,42,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
공대 대형강의동,43,85동 수의과대학,85,,21동 약학대학 약학관1,21,62-1동 관정도서관,62-1
공과대학 풍동실험동2,44,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,102동 정보화본부,102
45동,45,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
천문대 천문관측소,46,21동 약학대학 약학관1,21,,85동 수의과대학,85,12동 기초사범교육협력센터 사범대더랩,12
대기환경관측소 기상관측소,47,75-1동 제3식당 (전망대) 제3학생식당,75-1,,301동 제1공학관,301,44-1동 공대 신양학술정보관 I,44-1
예술관,49,49동 예술관,49,,52동 미술대학 예술관3,52,54동 음악대학 예술관2,54
미술대학 예술관1,50,50동 미술대학 예술관1,50,,55동 음악대학 예술관3,55,54동 음악대학 예술관2,54
미술대학 예술관2,51,52동 미술대학 예술관3,52,,50동 미술대학 예술관1,50,55동 음악대학 예술관3,55
미술대학 예술관3,52,52동 미술대학 예술관3,52,,54동 음악대학 예술관2,54,55동 음악대학 예술관3,55
음악대학 예술관1,53,52동 미술대학 예술관3,52,,54동 음악대학 예술관2,54,49동 예술관,49
음악대학 예술관2,54,54동 음악대학 예술관2,54,,55동 음악대학 예술관3,55,52동 미술대학 예술관3,52
음악대학 예술관3,55,55동 음악대학 예술관3,55,,54동 음악대학 예술관2,54,50동 미술대학 예술관1,50
자연과학대학 자연과학관10,56,85동 수의과대학,85,,62-1동 관정도서관,62-1,62동 중앙도서관,62
행정대학원,57,58동 경영대학 (SK경영관),58,,55동 음악대학 예술관3,55,113동 동원생활관,113
경영대학 (SK경영관),58,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,55동 음악대학 예술관3,55
경영전문대학원 (LG경영관),59,58동 경영대학 (SK경영관),58,,55동 음악대학 예술관3,55,113동 동원생활관,113
행정관,60,63동 학생회관,63,,62동 중앙도서관,62,62-1동 관정도서관,62-1
교수학습개발센터 및 기초교육원,61,8동 두산인문관,8,,5동 인문관,5,12동 기초사범교육협력센터 사범대더랩,12
중앙도서관,62,62동 중앙도서관,62,"중앙도서관 대출실 4층으로 가면, 중앙로비의 오른쪽에 '관정관 가는 길'이 보이고, 관정관 쪽으로 걸어가는 중간에  연속간행물자료실이 있습니다. 연속간행물자료실에 인쇄실이 있습니다. 로비의 북카페 뒷편에 중앙도서관 전산실에서도 인쇄가 가능하지만 CP카드 충전이 불가능합니다.",62-1동 관정도서관,62-1,85동 수의과대학,85
학생회관,63,63동 학생회관,63,건물의 3층에 CP게이트가 있습니다.,18동 자연과학대학 자연과학관1,18,102동 정보화본부,102
IBK 커뮤니케이션센터,64,16동 사회대,16,"64동 1층으로 나와서 오르막길을 올라가면 나무계단이 나옵니다. 나무계단을 올라가면 16동(사회대)가 나오고, 2층에 올라가셔서 로비의 책상을 기준으로 오른쪽으로 가시면 인쇄소가 나옵니다.",16-1동 사회대 신양학술정보관,16-1,113동 동원생활관,113
교수회관,65,21동 약학대학 약학관1,21,,85동 수의과대학,85,62-1동 관정도서관,62-1
학생군사교육단 학군단,66,21동 약학대학 약학관1,21,,85동 수의과대학,85,75-1동 제3식당 (전망대) 제3학생식당,75-1
두레학생문예관,67,16동 사회대,16,"67동 1층 문밖으로 나오면, 아시아 연구소(감골 식당)건물이 보입니다. 그 곳으로 가다보면 나무계단이 보이고, 올라가면 16동(사회대)가 나옵니다. 사회대로 2층으로 올라가 로비 책상을 기준으로 오른쪽으로 가시면 인쇄소가 나옵니다.",16-1동 사회대 신양학술정보관,16-1,15동 법과대학 법학관1,15
파워플랜트,68,222동 생활과학대학,222,,55동 음악대학 예술관3,55,58동 경영대학 (SK경영관),58
박물관,70,113동 동원생활관,113,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
종합체육관,71,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
"법학도서관 (국산도서관, 서암관)",72,15동 법과대학 법학관1,15,,55동 음악대학 예술관3,55,50동 미술대학 예술관1,50
문화관,73,15동 법과대학 법학관1,15,,16-1동 사회대 신양학술정보관,16-1,50동 미술대학 예술관1,50
예술계복합교육연구동,74,55동 음악대학 예술관3,55,,54동 음악대학 예술관2,54,4동 인문대 신양학술정보관 Ⅱ,4
대학신문 복지관,75,200동 농업생명과학대학,200,,301동 제1공학관,301,25동 25동,25
제4식당 (사당골),76,10-1동 교육정보관,10-1,,9동 사범대학 사범관1,9,12동 기초사범교육협력센터 사범대더랩,12
수의대부속 동물병원,80,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
생명공학연구동,81,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
환경대학원,82,54동 음악대학 예술관2,54,,49동 예술관,49,55동 음악대학 예술관3,55
멀티미디어강의동 (인문사회계),83,16동 사회대,16,"83동 1층으로 내려와서 나오면, 앞에 사회대 건물이 보입니다. 들어가서 반 층 올라가시면 로비 책상이 나오고, 책상을 기준으로 오른쪽으로 가시면 인쇄소가 나옵니다.",50동 미술대학 예술관1,50,16-1동 사회대 신양학술정보관,16-1
근대법학교육100주년기념관,84,15동 법과대학 법학관1,15,,50동 미술대학 예술관1,50,55동 음악대학 예술관3,55
수의과대학,85,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
치과병원,86,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
방사선동위원소폐기물보관소,97,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,16동 사회대,16
환경안전원,98,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,222동 생활과학대학,222
아시아연구소,101,16동 사회대,16,"아시아 연구소 1층에서 나오면 나무계단이 보입니다. 나무계단을 올라가면 16동(사회대)가 나오고, 사회대 2층으로 올라가시면 로비 책상이 보입니다. 로비 책상을 기준으로 오른쪽으로 가시면 인쇄소가 나옵니다.",16-1동 사회대 신양학술정보관,16-1,15동 법과대학 법학관1,15
정보화본부,102,102동 정보화본부,102,,18동 자연과학대학 자연과학관1,18,63동 학생회관,63
규장각한국학연구원,103,16-1동 사회대 신양학술정보관,16-1,,15동 법과대학 법학관1,15,16동 사회대,16
반도체공동연구소,104,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
유전공학연구소,105,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
자하연식당,109,4동 인문대 신양학술정보관 Ⅱ,4,,5동 인문관,5,55동 음악대학 예술관3,55
동원생활관,113,113동 동원생활관,113,,58동 경영대학 (SK경영관),58,16동 사회대,16
상산수리과학관,129,25동 25동,25,,18동 자연과학대학 자연과학관1,18,200동 농업생명과학대학,200
기초전력연구원 전력연구소,130,75-1동 제3식당 (전망대) 제3학생식당,75-1,,102동 정보화본부,102,301동 제1공학관,301
신소재공동연구소,131,75-1동 제3식당 (전망대) 제3학생식당,75-1,,301동 제1공학관,301,200동 농업생명과학대학,200
뉴미디어통신공동연구소,132,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
신소재공동연구소 자동화시스템연구소,133,301동 제1공학관,301,,75-1동 제3식당 (전망대) 제3학생식당,75-1,200동 농업생명과학대학,200
에너지자원신기술연구소,135,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
언어교육원,137,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
컴퓨터연구소,138,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
기초과학공동기기원,139,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
국제대학원,140,49동 예술관,49,,55동 음악대학 예술관3,55,52동 미술대학 예술관3,52
약학대학 약학관4,141,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
약학대학 약학관5,142,21동 약학대학 약학관1,21,,85동 수의과대학,85,75-1동 제3식당 (전망대) 제3학생식당,75-1
약학대학 신약개발센터,143,85동 수의과대학,85,,62-1동 관정도서관,62-1,62동 중앙도서관,62
입학본부,150,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,222동 생활과학대학,222
서울대학교 미술관,151,113동 동원생활관,113,,58동 경영대학 (SK경영관),58,16동 사회대,16
CJ인터내셔널센터,152,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,222동 생활과학대학,222
우정원 글로벌사회공헌센터,153,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,222동 생활과학대학,222
농업생명과학대학,200,25동 25동,25,,200동 농업생명과학대학,200,18동 자연과학대학 자연과학관1,18
농생명과학공동기기원 농업생명과학대학환경관,201,200동 농업생명과학대학,200,,25동 25동,25,301동 제1공학관,301
SPC 농생명과학 및 기초과학연구동,203,25동 25동,25,,18동 자연과학대학 자연과학관1,18,200동 농업생명과학대학,200
종합교육연구동,220,55동 음악대학 예술관3,55,,49동 예술관,49,52동 미술대학 예술관3,52
보건대학원,221,55동 음악대학 예술관3,55,,49동 예술관,49,52동 미술대학 예술관3,52
생활과학대학,222,55동 음악대학 예술관3,55,,52동 미술대학 예술관3,52,49동 예술관,49
유회진학술정보관,300,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,21동 약학대학 약학관1,21
제1공학관,301,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
제2공학관,302,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
엔지니어하우스,310,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
화학공정신기술연구소,311,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
정밀기계설계공동연구소,313,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
차세대자동차기술연구센터 차세대자동차신기술연구센터,314,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
대형구조실험동,316,44-1동 공대 신양학술정보관 I,44-1,,102동 정보화본부,102,75-1동 제3식당 (전망대) 제3학생식당,75-1
제2파워플랜트,330,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
차량정비고,331,44-1동 공대 신양학술정보관 I,44-1,,75-1동 제3식당 (전망대) 제3학생식당,75-1,301동 제1공학관,301
자연과학대학 한미기상기후센터,500,102동 정보화본부,102,,25동 25동,25,18동 자연과학대학 자연과학관1,18
자연과학대학,500,102동 정보화본부,102,,18동 자연과학대학 자연과학관1,18,63동 학생회관,63
자연과학대학,500,102동 정보화본부,102,,18동 자연과학대학 자연과학관1,18,25동 25동,25
자연과학대학,502,102동 정보화본부,102,,25동 25동,25,18동 자연과학대학 자연과학관1,18
자연과학대학 생명과학부,504,25동 25동,25,,102동 정보화본부,102,18동 자연과학대학 자연과학관1,18
공대간이식당,30-2,85동 수의과대학,85,,301동 제1공학관,301,18동 자연과학대학 자연과학관1,18
해동학술관,32-1,301동 제1공학관,301,,200동 농업생명과학대학,200,25동 25동,25
42-1동,42-1,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
공대 멀티미디어강의동2(이공계),43-1,21동 약학대학 약학관1,21,,85동 수의과대학,85,75-1동 제3식당 (전망대) 제3학생식당,75-1
공대 신양학술정보관 I,44-1,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,301동 제1공학관,301
미술대학 실습동,52-1,52동 미술대학 예술관3,52,,55동 음악대학 예술관3,55,49동 예술관,49
행정대학원,57-1,55동 음악대학 예술관3,55,,58동 경영대학 (SK경영관),58,52동 미술대학 예술관3,52
관정도서관,62-1,62-1동 관정도서관,62-1,,62동 중앙도서관,62,85동 수의과대학,85
신림변전소,68-1,222동 생활과학대학,222,,55동 음악대학 예술관3,55,58동 경영대학 (SK경영관),58
영선공장,68-2,222동 생활과학대학,222,,55동 음악대학 예술관3,55,49동 예술관,49
체육문화교육연구동,71-1,58동 경영대학 (SK경영관),58,,222동 생활과학대학,222,113동 동원생활관,113
포스코스포츠센터,71-2,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
제3식당 (전망대) 제3학생식당,75-1,200동 농업생명과학대학,200,,301동 제1공학관,301,25동 25동,25
수의생물자원연구동,85-1,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,113동 동원생활관,113
우천법학관 법대첨단강의동,15-1,16-1동 사회대 신양학술정보관,16-1,,15동 법과대학 법학관1,15,16동 사회대,16
사회대 신양학술정보관,16-1,16-1동 사회대 신양학술정보관,16-1,,16동 사회대,16,15동 법과대학 법학관1,15
25-1동,25-1,18동 자연과학대학 자연과학관1,18,,102동 정보화본부,102,63동 학생회관,63
교육정보관,10-1,10-1동 교육정보관,10-1,,9동 사범대학 사범관1,9,12동 기초사범교육협력센터 사범대더랩,12
반도체공동연구소 교육관 반도체교육관,104-1,75-1동 제3식당 (전망대) 제3학생식당,75-1,,21동 약학대학 약학관1,21,85동 수의과대학,85
언어교육원 CJ어학관,137-1,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
대림국제관,137-2,222동 생활과학대학,222,,58동 경영대학 (SK경영관),58,55동 음악대학 예술관3,55
정전가속기동,139-1,21동 약학대학 약학관1,21,,75-1동 제3식당 (전망대) 제3학생식당,75-1,85동 수의과대학,85
롯데국제교육관,152-1,58동 경영대학 (SK경영관),58,,113동 동원생활관,113,222동 생활과학대학,222
16-A동,16-A,16동 사회대,16,,16-1동 사회대 신양학술정보관,16-1,113동 동원생활관,113
미술대학,미술대학,50동 미술대학 예술관1,50,,52동 미술대학 예술관3,52,55동 음악대학 예술관3,55
파스쿠찌 서울대점,파스쿠찌,12동 기초사범교육협력센터 사범대더랩,12,,9동 사범대학 사범관1,9,10-1동 교육정보관,10-1
서울대학교 정문,,113동 동원생활관,113,,58동 경영대학 (SK경영관),58,16동 사회대,16